0,1,2,3,4,5,6,7,8,9,10,11,12
ALNY,9.92357319161618,9999,9999,-4.777252288982597,-3.8055348347264624,1.8320014020110387,9999,5.101610490588387,9999,0.8931300198539264,18.18,0
ALOT,9.99248631711776,9999,9999,0.6037358238825884,9.126508287292816,0.5514143152301367,9999,5.709467951403435,4.149979053204859,9999,5.51,0
ALPN,0.7259946497695338,79356797.1,9999,-2.181241324608368,-1.9576009090909088,5.881586043857908,9999,4.931364392678868,9999,1.1875372097638421,4.27,0
ALRM,4.057007307084899,2078980468.6599998,9999,0.2097402312846188,212.21488947249063,10.971141196189262,9999,4.7906496385299375,4.525076198392907,1.0294642063487913,44.51,0
ALRN,1.2187824988567333,9999,9999,-42.080386997118794,-0.05109268600945159,1.7640555242767153,9999,5.176369442397445,9999,9999,2.15,0
ALSK,3.02923772293667,9999,9999,0.04542771738095691,324.25137887678125,4.8626094573126215,9999,1.3339124548736463,1.2229693140794224,1.490124373725421,14.73,1
ALSN,7.625524205410149,5618230242.6,0.017799199335362604,1.2967430639324486,24.11426046511628,4.100701690490287,0.5565809632167886,1.6023391812865497,1.2339181286549707,2.4930619796484734,31.27,0
ALTR,-675.4970760233919,1451793669.76,9999,0.17778049889794634,129.8230128898947,-0.03416743139122153,9999,0.6651878105123256,0.6574222334736243,-5.191729431795227,23.08,0
ALV,32.53267630760951,5842033321.39,0.034713940993364216,4.621872025245478,14.48979972491624,2.0585456716432353,2.3247926283256013,1.594125346473668,1.2963889744379427,1.3917328850855746,66.97,0
ALX,69.08654100315431,1501221624.0,0.05450361138682879,16.907494729910606,17.38873823097471,4.255532202525188,16.024061747727664,0.3438994523778092,9999,9999,294.0,0
ALXN,38.914166122569,22831398134.5,9999,1.7412837717061005,67.0482329744617,3.0001927738158227,9999,3.133065986146555,2.677725118483412,0.6556051438956497,116.75,0
AMAT,6.808490566037736,17687561950.72,0.025102385576771153,1.5673952641165756,9.391377106333527,2.162006373839546,0.3695071156900714,2.2998348017621146,1.735407488986784,1.5904115283358737,14.72,0
AMBA,10.495406202487853,380527738.64000005,9999,2.3137625017812598,6.033462807549538,1.3301057368023443,9999,7.572054816969498,7.1999098674642035,9999,13.96,0
AMCX,3.518831154555906,5283958270.0,9999,3.813975129007698,19.14013529998891,20.745525088774247,9999,1.777805608597138,9999,19.885836085756154,73.0,1
AMD,0.43117807043507916,12010500000.0,9999,-0.5455543358946213,-23.370724346076457,29.570149490985578,9999,1.8796433878157504,1.3216939078751857,9.53125,12.75,1
AMDA,111.68547144490283,92870496.0,9999,-279.6443475718349,-145.2130191530821,363.59250200267024,9999,1.142744817726948,0.6271622587562544,9999,40608.0,1
AME,14.090309719693954,9999,9999,2.2152833347030403,9.280979853873218,1.4591588410057015,9999,2.0857902234972268,1.5534642016094051,1.2254930350347135,20.56,0
AMED,13.58829581162061,1134778714.2,9999,1.0983345615327929,36.94684791068409,2.9863936259980655,9999,1.1850695899596355,9999,0.6564550615645506,40.58,0
AMG,87.17948717948718,12361569347.05,9999,8.095890410958905,27.901810490693734,2.591091176470588,9999,0.3284117955544798,9999,0.389078431372549,225.89,1
AMGN,41.155207030838476,127094751961.14,0.023588700192094924,10.337349397590362,16.84958041958042,4.2322712620418415,4.108679799459094,4.106569082470546,3.861567297393788,2.5507280334728035,174.18,0
AMH,17.21994880440956,7157249052.36,0.006730379178871288,-0.1397582203621052,-170.86651460020275,1.3867637047727446,0.16072145479144637,1.1798188817533937,9999,0.6360564401472775,23.88,1
AMKR,5.865121709245223,1291543920.0,9999,0.6855961751257907,8.693164017297034,1.0161766959763545,9999,1.4017606330562684,1.1352791845363397,1.9768605476398813,5.96,0
AMOT,7.646884586903629,56964600.0,0.016536585879651573,1.0738112136266855,6.146331791143424,0.8630965885510333,0.10914146680570039,3.0544362962366023,1.801394149407688,2.0237390366045984,6.6,0
AMP,42.53362760853171,9999,9999,8.086153846153847,7.260559360730593,1.3803196035934522,9999,0.4386833264480525,9999,9.776859504132231,58.71,0
AMRK,9.00369056169069,124808237.5,0.013420588524855982,1.2953027635733647,13.703359939596591,1.9714138195201316,0.23821544631619368,1.1409410436096707,0.47246946886601765,9999,17.75,1
AMSC,3.992756656083863,9999,9999,-1.7182000445533527,-125.59655127706469,54.04787183090163,9999,2.0323603287243643,1.5809252078913356,1.0138720990077679,215.8,1
AMSWA,41.85498557918569,305903572.02000004,0.037521627891450596,0.35207975249226536,29.481956649091977,0.247999129765844,0.38947449751325725,2.3946404031149795,9999,9999,10.38,0
AMT,18.81147267820964,46229402883.8,0.021485049298528965,1.9736704507163356,55.04971711998117,5.775730686192116,2.334350606285172,1.0359235662542474,9999,2.4771896095653876,108.65,0
